"house" "east" "south" "exptDay" "obsmosq" "combo" "notmissing"
1 0.0180515794199891 0.0207028857897967 1 39 0 1
2 0.0264875606168062 0.0452752579934895 1 40 0 1
3 0.0211302131181583 0.0133699430967681 1 34 0 1
4 0.0471414358820766 0.0246531637501903 1 28 0 1
5 0.0212864422122948 0.0428888065041974 1 30 0 1
6 0.0278935593320057 0.0161480703391135 1 36 0 1
7 0.0370692563708872 0.00931552062975243 1 33 0 1
8 0.0189374983892776 0.00522016264731064 1 32 0 1
9 0.00616296123480424 0.0177609952515922 1 23 0 1
10 0.0366360850632191 0.0470406981534325 1 29 0 1
11 0.0498081122641452 0.0497988953604363 1 34 0 1
12 0.0428681681398302 0.0471872304100543 1 25 0 1
13 0.0462336069671437 0.00406348154647276 1 25 0 1
14 0.0342262177960947 0.00349544879281893 1 35 0 1
15 0.0373894681222737 0.0476662332424894 1 33 0 1
16 0.011006849759724 0.0455449752160348 1 37 0 1
17 0.00169371532974765 0.0198430469376035 1 30 0 1
18 0.0175706356880255 0.0105168378562666 1 37 0 1
19 0.0265711950720288 0.0477716268971562 1 33 0 1
20 0.0214464313001372 0.0059696980053559 1 35 0 1
21 0.00150219927309081 0.0352754831663333 1 33 0 1
22 0.0291399559006095 0.0202075911103748 1 32 0 1
23 0.0364176910719834 0.0290812170947902 1 30 0 1
24 0.00733440684853122 0.00022360379807651 1 32 0 1
25 0.00146155931288376 0.0112514886306599 1 31 0 1
26 0.0418314361828379 0.0360919722588733 1 49 0 1
27 0.000804002047516406 0.0190746497712098 1 40 0 1
28 0.00518784776795655 0.0447375933174044 1 26 0 1
29 0.0144457500544377 0.00365034003043547 1 49 0 1
30 0.0169079821091145 0.0466376061900519 1 30 0 1
1 0.0180515794199891 0.0207028857897967 2 30 0 1
2 0.0264875606168062 0.0452752579934895 2 33 0 1
3 0.0211302131181583 0.0133699430967681 2 38 0 1
4 0.0471414358820766 0.0246531637501903 2 26 0 1
5 0.0212864422122948 0.0428888065041974 2 28 0 1
6 0.0278935593320057 0.0161480703391135 2 37 0 1
7 0.0370692563708872 0.00931552062975243 2 30 0 1
8 0.0189374983892776 0.00522016264731064 2 49 0 1
9 0.00616296123480424 0.0177609952515922 2 44 0 1
10 0.0366360850632191 0.0470406981534325 2 48 0 1
11 0.0498081122641452 0.0497988953604363 2 33 0 1
12 0.0428681681398302 0.0471872304100543 2 24 0 1
13 0.0462336069671437 0.00406348154647276 2 33 0 1
14 0.0342262177960947 0.00349544879281893 2 33 0 1
15 0.0373894681222737 0.0476662332424894 2 36 0 1
16 0.011006849759724 0.0455449752160348 2 31 0 1
17 0.00169371532974765 0.0198430469376035 2 24 0 1
18 0.0175706356880255 0.0105168378562666 2 35 0 1
19 0.0265711950720288 0.0477716268971562 2 31 0 1
20 0.0214464313001372 0.0059696980053559 2 38 0 1
21 0.00150219927309081 0.0352754831663333 2 21 0 1
22 0.0291399559006095 0.0202075911103748 2 27 0 1
23 0.0364176910719834 0.0290812170947902 2 21 0 1
24 0.00733440684853122 0.00022360379807651 2 36 0 1
25 0.00146155931288376 0.0112514886306599 2 43 0 1
26 0.0418314361828379 0.0360919722588733 2 24 0 1
27 0.000804002047516406 0.0190746497712098 2 34 0 1
28 0.00518784776795655 0.0447375933174044 2 52 0 1
29 0.0144457500544377 0.00365034003043547 2 38 0 1
30 0.0169079821091145 0.0466376061900519 2 23 0 1
1 0.0180515794199891 0.0207028857897967 3 23 0 1
2 0.0264875606168062 0.0452752579934895 3 32 0 1
3 0.0211302131181583 0.0133699430967681 3 36 0 1
4 0.0471414358820766 0.0246531637501903 3 40 0 1
5 0.0212864422122948 0.0428888065041974 3 36 0 1
6 0.0278935593320057 0.0161480703391135 3 38 0 1
7 0.0370692563708872 0.00931552062975243 3 28 0 1
8 0.0189374983892776 0.00522016264731064 3 29 0 1
9 0.00616296123480424 0.0177609952515922 3 38 0 1
10 0.0366360850632191 0.0470406981534325 3 33 0 1
11 0.0498081122641452 0.0497988953604363 3 30 0 1
12 0.0428681681398302 0.0471872304100543 3 36 0 1
13 0.0462336069671437 0.00406348154647276 3 33 0 1
14 0.0342262177960947 0.00349544879281893 3 48 0 1
15 0.0373894681222737 0.0476662332424894 3 31 0 1
16 0.011006849759724 0.0455449752160348 3 44 0 1
17 0.00169371532974765 0.0198430469376035 3 31 0 1
18 0.0175706356880255 0.0105168378562666 3 34 0 1
19 0.0265711950720288 0.0477716268971562 3 32 0 1
20 0.0214464313001372 0.0059696980053559 3 31 0 1
21 0.00150219927309081 0.0352754831663333 3 36 0 1
22 0.0291399559006095 0.0202075911103748 3 32 0 1
23 0.0364176910719834 0.0290812170947902 3 21 0 1
24 0.00733440684853122 0.00022360379807651 3 28 0 1
25 0.00146155931288376 0.0112514886306599 3 33 0 1
26 0.0418314361828379 0.0360919722588733 3 33 0 1
27 0.000804002047516406 0.0190746497712098 3 34 0 1
28 0.00518784776795655 0.0447375933174044 3 24 0 1
29 0.0144457500544377 0.00365034003043547 3 42 0 1
30 0.0169079821091145 0.0466376061900519 3 34 0 1
1 0.0180515794199891 0.0207028857897967 4 43 0 1
2 0.0264875606168062 0.0452752579934895 4 31 0 1
3 0.0211302131181583 0.0133699430967681 4 35 0 1
4 0.0471414358820766 0.0246531637501903 4 31 0 1
5 0.0212864422122948 0.0428888065041974 4 37 0 1
6 0.0278935593320057 0.0161480703391135 4 37 0 1
7 0.0370692563708872 0.00931552062975243 4 27 0 1
8 0.0189374983892776 0.00522016264731064 4 42 0 1
9 0.00616296123480424 0.0177609952515922 4 35 0 1
10 0.0366360850632191 0.0470406981534325 4 29 0 1
11 0.0498081122641452 0.0497988953604363 4 32 0 1
12 0.0428681681398302 0.0471872304100543 4 32 0 1
13 0.0462336069671437 0.00406348154647276 4 40 0 1
14 0.0342262177960947 0.00349544879281893 4 32 0 1
15 0.0373894681222737 0.0476662332424894 4 29 0 1
16 0.011006849759724 0.0455449752160348 4 27 0 1
17 0.00169371532974765 0.0198430469376035 4 40 0 1
18 0.0175706356880255 0.0105168378562666 4 35 0 1
19 0.0265711950720288 0.0477716268971562 4 33 0 1
20 0.0214464313001372 0.0059696980053559 4 23 0 1
21 0.00150219927309081 0.0352754831663333 4 39 0 1
22 0.0291399559006095 0.0202075911103748 4 37 0 1
23 0.0364176910719834 0.0290812170947902 4 30 0 1
